Date,In,UUID
2026-07-19T22:14:58.482Z,found,ee020711-0608-9133-9b71-c191a4b1e4cb
2026-07-19T22:15:02.375Z,lost,ee020711-0608-9133-9b71-c191a4b1e4cb
2026-07-20T00:23:54.008Z,found,00112233-4455-6677-8899-aabbccddeeff
2026-07-20T00:23:58.106Z,lost,00112233-4455-6677-8899-aabbccddeeff
2026-07-20T00:24:05.513Z,found,74278bda-b644-4520-8f0c-720eaf059935
2026-07-20T00:24:12.647Z,lost,74278bda-b644-4520-8f0c-720eaf059935
2026-07-20T00:25:20.286Z,found,487aeaf8-e930-6b31-5c48-88ae63145b60
2026-07-20T00:25:34.455Z,lost,487aeaf8-e930-6b31-5c48-88ae63145b60
2026-07-20T00:31:51.419Z,found,00112233-4455-6677-8899-aabbccddeeff
2026-07-20T00:31:59.402Z,lost,00112233-4455-6677-8899-aabbccddeeff
